REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
RP0331924	DISTRIBUTOR	PUBLIX SUPER MARKETS, INC.	null	1950 SAND LAKE RD.	BLDG 3	ORLANDO	FL	32809	ORANGE	BP1228887	CHAIN PHARMACY	PUBLIX PHARMACY #0336	null	ANASTASIA PLAZA	1033 A1A BEACH BLVD.	SAINT AUGUSTINE	FL	32080	SAINT JOHNS	S	9193	00603389121	HYDROCODONE	3.0	null	null	null	null	null	10292012	1.36215	300.0	16301	HYDROCODONE BITARTRATE/ACETA 7.5MG/3	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Publix Super Markets, Inc.	7.5
RW0243903	DISTRIBUTOR	CARDINAL HEALTH	null	4 CARDINAL HEALTH CT.	null	GREENSBORO	NC	27407	GUILFORD	AM6181387	RETAIL PHARMACY	MEDICAL VILLAGE PHARMACY	null	815 FAIRGROVE CHURCH ROAD	null	CONOVER	NC	28613	CATAWBA	S	9143	00406853001	OXYCODONE	8.0	null	null	12XCO0065	null	null	11202012	21.516	800.0	1211074290	OXYCODONE HYDROCHLORIDE 30MG TABLET	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Cardinal Health	30.0
RW0231908	DISTRIBUTOR	CARDINAL HEALTH	null	2353 PROSPECT DR	null	AURORA	IL	60502	DUPAGE	BC5900750	CHAIN PHARMACY	HOOK-SUPERX, L.L.C.	DBA: CVS/PHARMACY  # 08685	5208 W. WASHINGTON STREET	null	INDIANAPOLIS	IN	46241	MARION	S	9143	00406055201	OXYCODONE	2.0	null	null	113689945	null	null	03272012	0.8965	200.0	1203105472	OXYCODONE HYDROCHLORIDE TABLETS 5MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Cardinal Health	5.0
RA0264325	DISTRIBUTOR	ASSOCIATED PHARMACIES INC	CLINTON KING	211 LONNIE E CRAWFORD BLVD	null	SCOTTSBORO	AL	35769	JACKSON	FC0805513	RETAIL PHARMACY	CLEVELAND HEIGHTS PHARMACY	null	3405 CLEVELAND HEIGHTS BLVD	null	LAKELAND	FL	33803	POLK	S	9193	00603389121	HYDROCODONE	1.0	null	null	null	null	null	01102012	0.45405	100.0	499638	HYDROCODONE BITARTRATE/ACETA 7.5MG/3	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Associated Pharmacies Inc	7.5
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	FM0313419	RETAIL PHARMACY	MILL RUN COMMUNITY PHARMACY	null	404 NORTH ST	null	MEADVILLE	PA	16335	CRAWFORD	S	9193	00591034905	HYDROCODONE	1.0	null	null	null	null	null	03122012	1.5135	500.0	1203003160	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	5.0
RM0336950	DISTRIBUTOR	MCKESSON CORPORATION	null	6775 JEFFERSON METROPOLITAN	null	MCCALLA	AL	35111	JEFFERSON	BM8263080	RETAIL PHARMACY	MARBLE CITY PHARMACY	null	264 WEST FT. WILLAMS STREET	null	SYLACAUGA	AL	35150	TALLADEGA	S	9143	00406853001	OXYCODONE	1.0	null	null	12X000206	null	null	08072012	2.6895	100.0	1208022089	OXYCODONE HYDROCHLORIDE 30MG TABLET	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	30.0
RA0253877	DISTRIBUTOR	ADVANTAGE LOGISTICS	null	533 NORTH MALLICK ROAD	null	OGLESBY	IL	61348	LA SALLE	BC6116481	CHAIN PHARMACY	SUPERVALU PHARMACIES INC	DBA CUB PHARMACY #1632/691	216 7TH ST. W.	null	MONTICELLO	MN	55362	WRIGHT	S	9143	10702000801	OXYCODONE	2.0	null	null	12X176657	null	1000	12022012	2.6895	200.0	21479	OXYCODONE HCL 15MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	KVK-Tech, Inc.	KVK-Tech, Inc.	Advantage Logistics	15.0
RW0152467	DISTRIBUTOR	WALGREEN CO	null	DBA WALGREENS	5100 LAKE TERRACE NE	MOUNT VERNON	IL	62864	JEFFERSON	BW0319649	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 06350	9395 OLIVE BLVD	null	OLIVETTE	MO	63132	SAINT LOUIS	S	9193	00591320301	HYDROCODONE	1.0	null	null	null	null	null	07092012	0.45405	100.0	14975	HYDROCODONE BITARTRATE AND ACETA 7.5	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	7.5
PC0003044	DISTRIBUTOR	CARDINAL HEALTH 110, LLC	null	6012 EAST MOLLOY RD	null	SYRACUSE	NY	13211	ONONDAGA	BC3628623	CHAIN PHARMACY	PENNSYLVANIA CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 01604	350 NORTH 10TH STREET	null	LEWISBURG	PA	17837	UNION	S	9143	00406055201	OXYCODONE	2.0	null	null	121475154	null	null	05082012	0.8965	200.0	1205017890	OXYCODONE HYDROCHLORIDE TABLETS 5MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Cardinal Health	5.0
RW0152467	DISTRIBUTOR	WALGREEN CO	null	DBA WALGREENS	5100 LAKE TERRACE NE	MOUNT VERNON	IL	62864	JEFFERSON	BW3872961	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 05768	5505 E HARRY STREET	null	WICHITA	KS	67218	SEDGWICK	S	9193	00591054005	HYDROCODONE	3.0	null	null	null	null	null	06052012	9.081	1500.0	12877	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
PM0037374	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO	1 COMMERCE DR. PO BOX 8808	O'FALLON	MO	63366	SAINT CHARLES	FM1294470	RETAIL PHARMACY	MEDICAL PHARMACY P.A.	null	1100 COLUMBINE DR.	SUITE A	HOLTON	KS	66436	JACKSON	S	9143	00228287911	OXYCODONE	4.0	null	null	12X000106	null	null	05222012	10.758	400.0	1205007484	OXYCODONE HCL 30MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	30.0
PM0000771	DISTRIBUTOR	MCKESSON CORPORATION	null	1515 KENDRICK LANE	null	LAKELAND	FL	33805	POLK	AP2125169	RETAIL PHARMACY	PEE JAY INC	DBA PRESCRIPTIONS UNLIMITED	2521 13TH STREET	SUITE A	SAINT CLOUD	FL	34769	OSCEOLA	S	9143	63481062970	OXYCODONE	1.0	null	null	12X000052	null	null	02242012	0.8965	100.0	1202069968	PERCOCET TABLETS 10MG OXYCODONE HCL/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	McKesson Corporation	10.0
RW0308216	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREENS	17500 PERRIS BLVD	MORENO VALLEY	CA	92551	RIVERSIDE	BW0214849	CHAIN PHARMACY	WALGREEN ARIZONA DRUG CO.	DBA: WALGREENS #12739	15450 N TATUM BLVD	null	PHOENIX	AZ	85032	MARICOPA	S	9193	00591320201	HYDROCODONE	3.0	null	null	null	null	null	10152012	0.9081	300.0	28593	HYDROCODONE BITARTRATE AND ACETA 5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	5.0
RW0204026	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREEN WAREHOUSE	2370 E MAIN STREET	WOODLAND	CA	95776	YOLO	BW8060319	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 07276	1012 CLEVELAND BLVD	null	CALDWELL	ID	83605	CANYON	S	9143	59011044010	OXYCODONE	1.0	null	null	121603233	null	null	06042012	3.5860000000000003	100.0	79884	OXYCONTIN 40MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Walgreen Co	40.0
PM0036334	DISTRIBUTOR	MCKESSON DRUG COMPANY	null	DBA MCKESSON DRUG CO.	3230 SPRUCE STREET	LITTLE CANADA	MN	55117	RAMSEY	BT5566483	CHAIN PHARMACY	TARGET STORES A DIV.OF TARGET CORP.	TARGET STORE T-1095	ATTN: PHARMACY	1650 NEW BRIGHTON BLVD.	MPLS	MN	55413	HENNEPIN	S	9193	53746010905	HYDROCODONE	1.0	null	null	null	null	null	06072012	1.5135	500.0	1206025042	HYDROCODONE BIT./ACETAMINOPHEN TABS.	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	McKesson Corporation	5.0
RW0191419	DISTRIBUTOR	CARDINAL HEALTH	null	955 WEST 3100 SOUTH	null	SOUTH SALT LAKE CITY	UT	84119	SALT LAKE	BM5713551	RETAIL PHARMACY	MILLS PHARMACY	null	990 BROYLES RANCH ROAD	null	BATTLE MOUNTAIN	NV	89820	LANDER	S	9143	00406052201	OXYCODONE	1.0	null	null	12X000001	null	null	01062012	0.672375	100.0	1201004529	OXYCODONE HCL/ACETAMINOPHEN 7.5MG/32	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Cardinal Health	7.5
RW0281953	DISTRIBUTOR	WALGREEN CO	null	710 OVILLA ROAD	null	WAXAHACHIE	TX	75167	ELLIS	FW0047274	CHAIN PHARMACY	WALGREEN LOUISIANA CO., INC.	DBA: WALGREENS # 10536	1930 E MADISON AVE	null	BASTROP	LA	71220	MOREHOUSE	S	9193	00591085305	HYDROCODONE	1.0	null	null	null	null	null	09112012	3.0269999999999997	500.0	38163	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
RM0314790	DISTRIBUTOR	MORRIS & DICKSON CO	null	10301 HIGHWAY 1 SOUTH	null	SHREVEPORT	LA	71115	CADDO	BT1649740	RETAIL PHARMACY	T B BOND PHARMACY	null	60 W ELM	PO BOX 405	HILLSBORO	TX	76645	HILL	S	9193	00603388328	HYDROCODONE	1.0	null	null	null	null	null	07252012	2.27025	500.0	53273	HYDROCOD.BIT 7.5 TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Morris & Dickson Co	7.5
RW0236009	DISTRIBUTOR	CARDINAL HEALTH	null	3238 DWIGHT RD	null	ELK GROVE	CA	95758	SACRAMENTO	BS2173970	CHAIN PHARMACY	SAFEWAY INC	SAFEWAY PHARMACY #1769	2808 COUNTRY CLUB BLVD	null	STOCKTON	CA	95204	SAN JOAQUIN	S	9193	00603388732	HYDROCODONE	1.0	null	null	null	null	null	11212012	6.053999999999999	1000.0	1211038426	HYDROCODONE BIT./ACETA 10MG/325MG TA	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	10.0
RW0347496	DISTRIBUTOR	WALGREEN CO.	null	DBA: WALGREENS	101 ALLIANCE PARKWAY	WILLIAMSTON	SC	29697	ANDERSON	BW4437364	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 03537	5301 RINGGOLD RD	null	EAST RIDGE	TN	37412	HAMILTON	S	9193	00591085305	HYDROCODONE	3.0	null	null	null	null	null	07272012	9.081	1500.0	2196	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
RM0220688	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	3000 KENSKILL AVE	WASHINGTON CT HOUSE	OH	43160	FAYETTE	BR3686714	CHAIN PHARMACY	RITE AID OF KENTUCKY, INC.	RITE AID #3564	426 VILLAGE LANE	null	HAZARD	KY	41701	PERRY	S	9143	00603499221	OXYCODONE	10.0	null	null	121572423	null	null	08132012	26.895	1000.0	1208032616	OXYCODONE HCL 30MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	30.0
RS0261379	DISTRIBUTOR	SMITH'S FOOD & DRUG CTR'S INC	null	D/B/A PEYTON'S PHOENIX	5305 W BUCKEYE RD	PHOENIX	AZ	85043	MARICOPA	BR6194550	CHAIN PHARMACY	RALPHS GROCERY CO	null	DBA RALPHS #171	655 S GRAND AVE	GLENDORA	CA	91740	LOS ANGELES	S	9193	00406036005	HYDROCODONE	1.0	null	null	null	null	null	05262012	2.27025	500.0	16641	HYDROCODO.BIT/APAP 7.5MG/750MG USP T	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Smith's Food & Drug Ctr's Inc	7.5
RA0129937	DISTRIBUTOR	AMERISOURCEBERGEN DRUG CORP	null	100 FRIARS BLVD	null	THOROFARE	NJ	8086	GLOUCESTER	AF4170750	RETAIL PHARMACY	SHOPRITE PHARMACY DEPT OF ABERDEEN #613	null	SHOPRITE PHARMACY  DEPT. OF ABERDEEN #613	318 LLOYD ROAD	MATAWAN	NJ	7747	MONMOUTH	S	9193	00591320301	HYDROCODONE	2.0	null	null	null	null	null	03192012	0.9081	200.0	14837	HYDROCODONE BITARTRATE AND ACETA 7.5	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	AmerisourceBergen Drug	7.5
PW0122262	DISTRIBUTOR	WALGREEN CO	null	2455 PREMIER ROW	null	ORLANDO	FL	32809	ORANGE	BW5381289	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 04037	1615 NW 13TH ST.	null	GAINESVILLE	FL	32609	ALACHUA	S	9193	00591050301	HYDROCODONE	1.0	null	null	null	null	null	12102012	0.6054	100.0	10058	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
PR0205559	DISTRIBUTOR	CVS TN DISTRIBUTION, LLC	null	10017 KINGSTON PIKE	null	KNOXVILLE	TN	37922	KNOX	BC6117508	CHAIN PHARMACY	SOUTH CAROLINA CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 07318	230 APPLE SQUARE PLAZA	null	EDGEFIELD	SC	29824	EDGEFIELD	S	9193	00603388821	HYDROCODONE	9.0	null	null	null	null	null	03082012	5.4486	900.0	129952	HYDROCODONE.BIT & ACETA  10MG & 500M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	CVS	10.0
PP0220828	DISTRIBUTOR	KROGER LIMITED PARTNERSHIP II	null	DBA PEYTON'S NORTHERN	1111 SOUTH ADAMS STREET	BLUFFTON	IN	46714	WELLS	BK3897014	CHAIN PHARMACY	KROGER PHARMACY	#347	1550 EAST COLLEGE	null	NORMAL	IL	61761	MCLEAN	S	9193	53746014501	HYDROCODONE	1.0	null	null	null	null	null	05132012	0.45405	100.0	13809	HYDROCODONE/IBUPROFEN 7.5MG/200MG TA	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	Kroger	7.5
PT0185276	DISTRIBUTOR	MEIJER DISTRIBUTION INC #90	null	2721 WALKER NW	null	GRAND RAPIDS	MI	49544	KENT	BM3103215	CHAIN PHARMACY	MEIJER INC #108	null	7300 EASTMAN ROAD	null	MIDLAND	MI	48642	MIDLAND	S	9193	64376064901	HYDROCODONE	1.0	null	null	null	null	null	10162012	0.45405	100.0	12383	HYDROCODONE BIT & ACETAMINOPHEN 7.5M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Meijer Distribution Inc #90	7.5
RW0204026	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREEN WAREHOUSE	2370 E MAIN STREET	WOODLAND	CA	95776	YOLO	FW0366458	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS #10172	1181 N STATE ST	null	SAN JACINTO	CA	92583	RIVERSIDE	S	9143	00591093201	OXYCODONE	3.0	null	null	113476613	null	null	03282012	2.6895	300.0	100983	OXYCODONE.HCL/APAP 10MG/325MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
RW0269654	DISTRIBUTOR	CARDINAL HEALTH	null	1120 COMMERCE BLVD	null	SWEDESBORO	NJ	8085	GLOUCESTER	BC6821878	CHAIN PHARMACY	NEW JERSEY CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 02724	394 BROADWAY, VAN HOUTEN AVE	null	PASSAIC	NJ	7055	PASSAIC	S	9143	60951060270	OXYCODONE	12.0	null	null	124881270	null	null	09252012	5.379	1200.0	1209064935	ENDOCET OXYCODO HCL5MG&AC TAB	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	5.0
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	BG8314116	CHAIN PHARMACY	GIANT PHARMACY #252	null	1000 E MAIN ST	null	PURCELLVILLE	VA	20132	LOUDOUN	S	9143	53746020401	OXYCODONE	2.0	null	null	116620961	null	null	02142012	1.7930000000000001	200.0	1202045505	OXYCODONE HCL/ACETAMINOPHEN TABS 10M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	McKesson Corporation	10.0
RW0308216	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREENS	17500 PERRIS BLVD	MORENO VALLEY	CA	92551	RIVERSIDE	FW1455888	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS #12337	2795 FLORAL AVE	null	SELMA	CA	93662	FRESNO	S	9193	00591034905	HYDROCODONE	1.0	null	null	null	null	null	08142012	1.5135	500.0	27806	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	5.0
RH0347282	DISTRIBUTOR	H. D. SMITH WHOLESALE DRUG	null	6001 GLOBAL DISTRIBUTION WAY	SUITE 102	LOUISVILLE	KY	40228	JEFFERSON	FM0317366	RETAIL PHARMACY	MIDDLETOWN PHARMACY, INC	null	4421 ROOSEVELT BLVD	SUITE H	MIDDLETOWN	OH	45044	BUTLER	S	9143	60951071270	OXYCODONE	6.0	null	null	12X000082	null	null	02022012	5.379	600.0	4740	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	H. D. Smith	10.0
RW0282145	DISTRIBUTOR	WAL-MART PHARMACY WHSE #45	null	2250 NORTH 8TH STREET	SUITE 102-A	ROGERS	AR	72756	BENTON	BW7671527	CHAIN PHARMACY	WAL-MART PHARMACY 10-3495	null	2315 MADISON STREET	null	CLARKSVILLE (S)	TN	37043	MONTGOMERY	S	9143	00406052201	OXYCODONE	6.0	null	null	120718247	null	null	04192012	4.03425	600.0	1204025612	OXYCODONE HCL/ACETAMINOPHEN 7.5MG/32	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Wal-Mart	7.5
PM0018425	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	14500 E 39TH AVE	AURORA	CO	80011	ADAMS	FP0340353	RETAIL PHARMACY	PLATTE VALLEY FAMILY PHARMACY	null	1606 PRAIRIE CENTER PARKWAY	null	BRIGHTON	CO	80601	ADAMS	S	9193	00591320301	HYDROCODONE	1.0	null	null	null	null	null	02152012	0.45405	100.0	1202018442	HYDROCODONE BITARTRATE AND ACETA 7.5	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	7.5
PW0186785	DISTRIBUTOR	WAL-MART PHARM WAREHOUSE #1	null	2252 NORTH 8TH STREET	null	ROGERS	AR	72756	BENTON	BW5396393	CHAIN PHARMACY	WAL-MART PHARMACY 10-0090	null	2115 S MAIN STREET	null	GROVE	OK	74344	DELAWARE	S	9193	00406036101	HYDROCODONE	1.0	null	null	null	null	null	10222012	0.6054	100.0	1210029696	HYDROCODO.BIT 10MG&AC USP TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Wal-Mart	10.0
RO0153609	DISTRIBUTOR	CARDINAL HEALTH	null	71 MIL-ACRES DR	null	WHEELING	WV	26003	OHIO	BK4998728	CHAIN PHARMACY	KROGER PHARMACY N-348	null	887 N BRIDGE STREET	null	CHILLICOTHE	OH	45601	ROSS	S	9193	00603388628	HYDROCODONE	1.0	null	null	null	null	null	06192012	3.0269999999999997	500.0	1206074929	HYDROCODONE BITARTRATE AND ACETA 10M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	10.0
PP0220828	DISTRIBUTOR	KROGER LIMITED PARTNERSHIP II	null	DBA PEYTON'S NORTHERN	1111 SOUTH ADAMS STREET	BLUFFTON	IN	46714	WELLS	BK1760885	CHAIN PHARMACY	KROGER PHARMACY #909	null	1474 MAIN STREET	null	HAMILTON	OH	45013	BUTLER	S	9193	00406036201	HYDROCODONE	1.0	null	null	null	null	null	10122012	0.6054	100.0	12147	HYDROCOD.BIT.& APAP,10MG/660MG/TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Kroger	10.0
PM0022929	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	9700 SW COMMERCE CIRCLE	WILSONVILLE	OR	97070	CLACKAMAS	AB1634369	RETAIL PHARMACY	BEAVERTON PHARMACY	null	12250 SW CANYON ROAD	null	BEAVERTON	OR	97005	WASHINGTON	S	9143	59011042010	OXYCODONE	1.0	null	null	12X000193	null	null	09202012	1.7930000000000001	100.0	1209031430	OXYCONTIN 20MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	20.0
RO0153609	DISTRIBUTOR	CARDINAL HEALTH	null	71 MIL-ACRES DR	null	WHEELING	WV	26003	OHIO	AW3171612	CHAIN PHARMACY	WEIS PHARMACY #41	null	MANOR SHOPPING CENTER	1204 MILLERSVILLE PIKE	LANCASTER	PA	17603	LANCASTER	S	9143	00228402911	OXYCODONE	1.0	null	null	116193727	null	null	02172012	0.44825	100.0	1202069556	OXYCODONE HCL & IBUPROPHEN 5MG/400MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Cardinal Health	5.0
PN0033857	DISTRIBUTOR	N C MUTUAL WHOLESALE DRUG CO	null	816 ELLIS RD	null	DURHAM	NC	27703	DURHAM	FT1735882	RETAIL PHARMACY	TAR HEEL DRUG	null	300 S. MIDDLETON ST	P.O. BOX 548	ROBBINS	NC	27325	MOORE	S	9193	00406036705	HYDROCODONE	1.0	null	null	null	null	null	11012012	3.0269999999999997	500.0	2474	HYDROCODONE BIT/ACETA 10MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	N C Mutual Wholesale Drug Co	10.0
RC0238104	DISTRIBUTOR	CARDINAL HEALTH	null	2512 WESTCOTT BLVD	null	KNOXVILLE	TN	37931	KNOX	BT6023129	RETAIL PHARMACY	THOMPSON DRUG SOUTH	WINDHAM, RANDY P., R.PH	975 SOUTH LAUREL ROAD	SUITE A	LONDON	KY	40744	LAUREL	S	9193	00591050305	HYDROCODONE	1.0	null	null	null	null	null	10172012	3.0269999999999997	500.0	1210059561	HYDROCODONE BITARTRATE 10MG/ACETAMIN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Cardinal Health	10.0
PM0036334	DISTRIBUTOR	MCKESSON DRUG COMPANY	null	DBA MCKESSON DRUG CO.	3230 SPRUCE STREET	LITTLE CANADA	MN	55117	RAMSEY	BT4120894	RETAIL PHARMACY	THRIFTY WHITE PHARMACY #735	null	111 W VERNON AVE	null	FERGUS FALLS	MN	56537	OTTER TAIL	S	9143	10702005701	OXYCODONE	3.0	null	null	12X000066	null	null	10232012	5.379	300.0	1210025642	OXYCODONE HCI  20 MG TABLETS USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	KVK-Tech, Inc.	KVK-Tech, Inc.	McKesson Corporation	20.0
RA0289098	DISTRIBUTOR	AMERISOURCEBERGEN DRUG CORP	null	1765 FREMONT DRIVE	null	SALT LAKE CITY	UT	84104	SALT LAKE	FH0008993	RETAIL PHARMACY	HARMONS CITY, INC #86	null	11453 SOUTH PARKWAY PLAZA DRIVE	null	SOUTH JORDAN	UT	84095	SALT LAKE	S	9193	00591320201	HYDROCODONE	1.0	null	null	null	null	null	07252012	0.3027	100.0	3700	HYDROCODONE BITARTRATE AND ACETA 5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	AmerisourceBergen Drug	5.0
